County,Turnout,State,Precincts,Votes,Republican,Democrat,Green,Libertarian,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,White (Not Latino),African American,Native American,Asian American,Other Race,Latino,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,Gini.Coefficient,Child.Poverty.living.in.families.below.the.poverty.line,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,Sire Homogeneity,Median Age,Poor.physical.health.days,Poor.mental.health.days,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.smoking,Adult.obesity,Diabetes,Sexually.transmitted.infections,HIV.prevalence.rate,Uninsured,Unemployment,Violent.crime,Homicide.rate,Injury.deaths,Infant.mortality
Conejos,68.7,Colorado,11,3970,47.48,44.16,0.6,4.11,18.6,81.4,18.7,6.6,79.15,20179.37,42.05,0.2,0.3,0.15,1.4,55.85,28.3,14.35,8138,28.3,18.6,0.429,23.5,34.6,17,21.35,3.45,13.3,10.35,0.48895375,38.6,5.5,3.8,0.12,48.4,0.26,0.21,0.177,0.061,205,,0.223,0.099,,,95,
Hernando,68.7,Florida,37,93878,62.88,33.89,0.76,2.18,14.4,85.6,16.2,5,77.05,25999.47,83.05,4.75,0.25,1.1,1.45,9.4,18.4,6.65,169558,45.1,11.45,0.42,17.1,28.45,18.85,30.75,0.5,12.05,9.4,0.70116,47,4.8,5.9,0.08,35.3,0.362,0.226,0.287,0.12,225.3,130.5,0.222,0.109,347.65,2.68,99.9,7.4
St. Lucie,68.7,Florida,64,140731,49.92,47.47,0.61,1.76,16.6,83.4,17.8,6.3,75.55,26767.78,63.45,17.5,0.2,1.55,1.75,15.55,19,7.85,266886,48.6,12.85,0.43,19.8,27.05,20.2,28.2,1.25,13.65,9.65,0.457946,41.9,4.2,4.1,0.08,43.9,0.389,0.161,0.287,0.131,347.4,630.1,0.27,0.111,418.26,4.62,69.5,6.8
Columbia,68.7,Georgia,49,64190,67.08,29.39,0,3.53,10.1,89.9,33.8,12.7,80.6,35440.73,75.15,14.55,0.25,3.6,2.4,4.15,8.1,6.25,116034,48.4,6.85,0.411,7.2,41.6,14.05,25.6,0.1,9.05,9.7,0.589523,36.8,2.8,2.8,0.08,25.9,0.227,0.164,0.264,0.098,159.2,182.1,0.154,0.068,116.98,2.01,45.7,6.9
Lee,68.7,Georgia,10,14106,75.44,22.44,0,2.12,16.6,83.4,19.2,8.8,82.3,31543.03,76.5,17.95,0.2,1.65,1.75,1.9,8.5,9.65,30579,56.6,8.15,0.392,9.75,35.15,10.85,28.1,0.8,11.25,13.9,0.61838875,35.6,3.5,3.3,0.09,36.1,0.242,0.229,0.308,0.111,255.5,92.9,0.158,0.074,168.53,,61.5,9.5
Guthrie,68.7,Iowa,9,5654,63.72,30.42,0.32,4.53,8.8,91.2,18.9,3.7,80.85,28543.82,96.7,0.15,0.15,0.3,0.7,1.9,5.65,7.55,10993,57.7,7.6,0.427,10.35,33.15,14.9,25.3,2.3,11.95,12.35,0.9355125,44.2,2.5,1.5,0.07,17.2,0.262,0.09,0.328,0.09,137.6,,0.106,0.057,13.69,,67,
Greeley,68.7,Kansas,3,639,81.85,12.99,1.25,3.91,10,90,20.7,7,76.2,27221.78,87.15,0.3,0.85,0.15,1.15,10.35,0,12,1215,31.3,5.15,0.476,2.3,39.95,15.65,20.85,8.6,6.4,8.6,0.77044025,45,,,,,0.073,,0.307,0.11,397.5,,0.179,0.033,279.78,,,
Benton,68.7,Minnesota,27,19911,64.65,28.33,1.23,3.43,9.8,90.2,19.6,5.9,75.2,28468.54,93.8,1.55,0.45,1.1,1.6,1.5,17.35,11.15,38955,36.2,12,0.39,15.05,28.5,16.95,25.95,0.7,10.5,17.4,0.8807065,33.7,3.3,2.5,0.07,30.6,0.282,0.146,0.291,0.09,160.3,28.5,0.099,0.061,146.85,,46.7,6.7
Pipestone,68.7,Minnesota,22,4779,69.85,23.58,0.92,2.74,14.3,85.7,15.4,4.7,79.85,24870.86,93.55,0.4,1.25,0.7,1.3,2.75,17.55,13.4,9449,55.6,10.45,0.434,12.1,30.3,18.2,21.8,3.8,7.95,17.9,0.87630675,42.8,,,0.07,30.6,0.249,,0.289,0.088,73.7,,0.129,0.043,27.94,,81.5,
Saunders,68.7,Nebraska,17,10598,70.64,23.67,0.9,4.79,7.2,92.8,23.7,7.2,80.4,31225.05,96.4,0.2,0.2,0.3,1,1.95,11.5,7.25,20447,44.4,7,0.392,9.3,32.4,16.7,22.25,0.45,13.05,15.2,0.92979325,41.6,3.1,2.7,0.06,14.8,0.171,0.19,0.305,0.084,105.4,,0.104,0.042,67.91,,72.1,
Carteret,68.7,North Carolina,28,36919,71.04,26.56,0,2.4,12.4,87.6,23.8,8.3,75.3,25701.79,87.7,6.45,0.4,0.8,1.85,2.85,19.75,8,64919,42.8,11.95,0.433,17.6,31.4,18.1,24.85,1.15,14.25,10.25,0.77452375,45.1,4.3,3.4,0.07,38.7,0.378,0.214,0.29,0.113,301.3,95.3,0.19,0.086,295.17,3.55,80.6,5.9
Gillespie,68.7,Texas,14,13123,79.59,17.42,0.46,2.52,13.6,86.4,26.8,9.8,72.9,25656.1,79.45,0.15,0.15,0.3,0.95,19.05,13.9,6.05,24162,54.6,7.45,0.436,8.5,33.55,15.7,25.05,2.35,13.6,9.8,0.66762425,49.3,2.3,2.3,0.08,48,0.263,,0.295,0.116,115.5,37.4,0.265,0.042,59.18,,66.2,
Frederick,68.7,Virginia,22,40133,64.96,29.7,0.8,3.18,17,83,23.1,8.7,77.05,32666.67,87.1,3.9,0.2,1.25,1.55,6,15.3,6.65,75212,46,8.45,0.386,12.35,33.4,14.35,25.3,0.75,11.55,14.7,0.7641625,38.7,2.6,3.3,0.07,35.6,0.239,0.217,0.293,0.09,207.1,66.9,0.146,0.053,120.33,3.49,53.8,4.5
Shelby,68.8,Alabama,49,99208,73.43,23.11,0.48,2.98,8.5,91.5,39.6,12.2,80.9,37336.92,82.05,10.15,0.2,1.7,1.05,4.85,9.9,5.15,189040,57,6.9,0.434,9.25,42.5,11.6,29.35,0.05,9.1,7.45,0.686278,36.5,3.3,3.6,0.08,24.4,0.201,0.18,0.296,0.089,215.2,77.7,0.121,0.05,158.07,3.37,64.6,6.9
Yuma,68.8,Colorado,15,4664,80.51,15.03,0.34,2.42,16.4,83.6,17.8,4.5,73.9,23207.85,78.5,0.15,0.5,0.1,0.5,20.25,9.7,11.35,9836,55.1,10.25,0.414,12.4,30.95,11.45,19,9.5,18.2,10.8,0.6572845,36.7,2.9,1.6,0.07,45.9,0.127,0.177,0.251,0.06,89.1,110.9,0.231,0.04,66.82,,66.7,
Osceola,68.8,Iowa,9,3197,79.07,17.27,0.31,2.28,13.5,86.5,16.3,3.4,75.95,25729.94,93.95,0.1,0.15,0.15,0.55,5.05,11.35,9.45,6474,41.8,8.9,0.408,11.7,29.1,15.8,21.6,4.85,7.65,21.1,0.88524625,42,,,0.04,22.5,0.154,,0.298,0.087,,,0.132,0.047,25.86,,72.9,
Pocahontas,68.8,Iowa,8,3831,70.27,25.11,0.37,3,8.3,91.7,16.4,4.3,76.85,25374.53,96.4,0.25,0.3,0.2,0.7,2.15,15.4,8,7442,51.6,9.4,0.386,11.45,31.7,16.9,20.15,2.55,7.6,21.05,0.9298265,47,2.1,1.2,0.07,30.2,0.287,0.2,0.301,0.114,125.3,,0.108,0.041,72.4,,,
Pointe Coupee,68.8,Louisiana,28,11761,57.72,40.51,0.3,0.73,24.4,75.6,15.3,5.8,72.45,26625.77,60.25,36.95,0.15,0.15,0.75,1.8,33.7,18.8,22564,41.6,21.15,0.463,30.05,25.75,15.7,24.1,2.2,15.5,16.75,0.49992125,41.6,2.5,,0.13,61.1,0.37,0.139,0.323,0.146,405.2,215.7,0.196,0.076,672.7,8.83,85.8,10.4
KENNEBEC,68.8,Maine,33,65999,48.11,44.39,1.91,5.59,9.7,90.3,24.1,8.9,77.1,27618.16,95.65,0.55,0.4,0.75,1.4,1.15,18.95,9.6,121464,46.2,12.7,0.423,17.8,34.7,16.7,25.9,0.7,10.25,11.75,0.915323,41.8,3.8,3.7,0.06,25.7,0.339,0.192,0.301,0.096,288.7,113.3,0.118,0.07,133.82,1.18,58.9,5.1
Sioux,68.8,Nebraska,2,709,84.91,10.86,0.56,3.67,5.7,94.3,26,9.5,88.45,22038.96,95,0.05,0.15,0.4,0.8,3.7,3.55,9.75,1264,72.7,9.9,0.465,11.7,45.1,11.05,14.05,11.75,6.15,11.85,0.9039515,48.9,,,,,0.094,0.144,0.277,0.081,,,0.169,0.037,,,,
Monmouth,68.8,New Jersey,457,311474,53.07,43.61,1.01,2.03,8.8,91.2,39.2,14.9,84.25,41283.33,77.3,7.2,0.1,4.95,1.45,9.05,8.35,6.15,636182,69.9,6.2,0.462,7.8,42.1,14.85,27.45,0.3,8.05,7.25,0.61356475,40.6,3,3.4,0.08,13.4,0.211,0.158,0.224,0.085,187.3,330.3,0.122,0.089,197.97,1.8,35.5,3.6
Iredell,68.8,North Carolina,29,80727,67.1,30.28,0,2.63,15.5,84.5,21.6,6.1,75.95,28200,78.55,12,0.25,1.75,1.3,6.15,19.45,11.1,154891,35,12.55,0.46,16.7,28.4,14.9,25.35,0.5,10.55,20.3,0.635674,38.4,3.3,3,0.09,41.9,0.298,0.197,0.279,0.089,354.2,95.9,0.176,0.097,277.04,4.48,64.1,7
Sheridan,68.8,North Dakota,1,774,83.2,12.14,0.13,3.75,19.9,80.1,14.7,2.2,75.2,22587.73,96.55,0,1.45,0.1,1.35,0.6,66.05,17.75,1320,,19.85,0.453,34.6,39.15,15.95,16.4,1.65,12,14.8,0.93261975,52.9,3.8,3.4,,,0.019,0.149,0.298,0.117,,,0.18,0.045,76.94,,,
Union,68.8,Ohio,41,26533,66.34,28.38,0.74,4.1,9.7,90.3,27.3,7.7,78.75,35813.78,92.25,2.45,0.2,2,1.85,1.25,9.25,6.1,49853,40.7,6.3,0.381,8.3,34.9,14.55,22.7,0.3,8.3,19.25,0.852509,36.1,2.7,3.3,0.07,27.5,0.18,0.185,0.342,0.098,267.2,300.8,0.103,0.055,48.91,,49.3,7.6
Eau Claire,68.8,Wisconsin,82,54080,43.09,50.43,1.29,4.62,8.2,91.8,30.2,10,75.85,22494.85,92.75,0.85,0.5,3.1,1.25,1.55,20.5,6.5,98079,43.6,14.6,0.449,14.35,30.75,18.1,28.75,0.7,7.3,14.4,0.861711,33.1,3.1,2,0.06,16.6,0.244,0.168,0.288,0.069,406.5,41.9,0.102,0.059,161.78,,51.6,5.6
Crook,68.8,Wyoming,17,3771,88.76,7.19,0.29,3.13,8.1,91.9,22.8,7.5,73.95,29520.85,97.2,0.1,0.4,0.1,0.6,1.6,26.2,7.4,6710,39.8,8.95,0.349,14,32.45,13.6,17.4,4,19.1,13.4,0.945094,44,3.1,3.2,0.06,40.7,0.222,0.188,0.24,0.072,84.4,,0.184,0.051,58.97,,103.6,
Union,68.9,Georgia,11,12039,81.81,16.3,0,1.89,17.1,82.9,21.6,8.2,76.3,23450.56,95.5,0.75,0.3,0.4,1.2,1.85,14.6,10.75,21027,50.7,13.65,0.462,12.4,33.3,19.2,26.15,1.75,8.85,10.65,0.9125925,49.2,3,2.2,0.08,49.9,0.178,0.13,0.266,0.139,85.2,48.5,0.234,0.074,60.47,,94.9,
Jefferson,68.9,Idaho,18,11471,73.54,8.51,0.48,2.39,14.2,85.8,17.8,5.2,75.65,24821.69,87.75,0.15,0.5,0.3,1.25,10.05,13.5,10.3,24516,32,10.5,0.367,11.8,29.35,12.6,24.1,5.5,12.9,15.6,0.780299,30.1,3.6,3.4,0.06,34,0.137,0.103,0.275,0.086,102.7,,0.204,0.06,118.32,,57.1,
Humboldt,68.9,Iowa,10,5033,70.81,24.86,0.4,2.52,11.2,88.8,15.9,4.2,77.8,26379.65,94.75,0.2,0.05,0.2,1.7,3.05,22.9,6.25,9730,66,10.65,0.401,16.85,30.25,15.25,23.25,2.05,11.6,17.65,0.89898375,44.2,,,0.06,34.1,0.347,0.174,0.336,0.105,132.6,,0.109,0.044,13.75,,70.6,
Lac Qui Parle,68.9,Minnesota,29,3835,59.82,33.92,0.83,2.76,11.6,88.4,16.2,3.3,76.2,26000.24,97.35,0.3,0.15,0.35,0.55,1.25,10.85,9.35,7258,41.9,9.3,0.393,11.7,36.05,15.35,22.05,1.6,10.65,14.2,0.94791225,47.9,2.1,,0.04,15.7,0.206,,0.292,0.101,69.5,,0.1,0.045,55.4,,81.7,
Treasure,68.9,Montana,3,442,79.19,13.35,1.36,5.88,12.8,87.2,20.9,4.9,69.75,23426.58,93,0,0.4,0.55,2.4,3.65,12.55,5.15,815,0,8.1,0.38,14.05,36.3,11.95,17.1,12.6,15.65,6.4,0.8668545,45.4,,,,,0.206,,0.248,0.087,,,0.246,0.047,,,,
Clark,69,Idaho,3,283,71.73,15.55,0.35,1.41,31.1,68.9,5.3,1.1,74.95,24248.02,56.05,0.1,1.7,0.25,0.85,41,12.15,23.35,983,50,13.55,0.381,16.6,30.95,6.9,5.4,22.55,16.35,17.9,0.48262875,42.3,,,,48.5,0.187,,0.29,0.094,,,0.314,0.066,209.06,,,
Jasper,69,Illinois,16,5104,77.84,18.1,0.51,3.55,11.8,88.2,13,5.6,76.6,24235.54,98.25,0.2,0.2,0.2,0.45,0.65,15.25,5.05,9671,44.8,9.3,0.372,11.15,28.25,15.6,21.8,1.95,10.25,22.15,0.96538075,42.6,,,0.1,29.4,0.268,,0.3,0.102,133.8,,0.133,0.083,231.66,,82,
Brown,69,Minnesota,32,13663,63.73,27.54,1,3.68,11.6,88.4,18.5,5.3,82.65,24690.28,95.3,0.15,0.05,0.65,0.6,3.25,21.5,9.4,25887,41,9.4,0.406,14.3,27.15,18.2,21.55,1.85,9.35,22,0.909346,42.7,2.5,2,0.06,21.2,0.245,0.228,0.287,0.085,174.9,36.6,0.087,0.055,50.01,,56.9,
Cass,69,Missouri,48,50715,65.08,29.21,0.83,4.24,8.4,91.6,21.4,6.6,77.85,32066.95,90.05,3.2,0.6,0.65,1.7,3.75,13.15,4.45,98340,39.9,7.65,0.368,10.95,31.85,14.65,26.95,0.25,13.4,12.9,0.81369775,37.4,3.4,3.4,0.07,30.6,0.279,0.226,0.331,0.099,295.8,67.4,0.133,0.068,151.05,3.73,65.8,6.6
La Crosse,69,Wisconsin,54,62785,42.02,51.61,1.47,4.26,7.1,92.9,28.8,10.4,78.05,24203.8,91.85,1.3,0.4,3.8,1.3,1.3,15.25,9.1,113064,38.9,14.05,0.425,14.6,32.75,17.8,26.6,0.7,6.95,15.25,0.84560925,35.2,2.9,2.6,0.06,16.9,0.255,0.154,0.241,0.074,369.5,73.8,0.089,0.053,193.03,,55.3,4.3
Eagle,69.1,Colorado,30,22611,36.06,55.96,1.52,5.14,12.8,87.2,45.9,11.7,64.1,35484.54,68.4,0.3,0.25,1.15,1.1,28.9,11.65,4.85,51405,50.7,9.4,0.464,12.05,32.9,24.8,20.05,0.45,15.5,6.3,0.5516455,33.4,2.5,2.1,0.09,41.3,0.204,0.095,0.132,0.036,190.9,133.7,0.23,0.081,123.88,,42.9,3.5
Cobb,69.1,Georgia,144,326424,46.75,48.84,0,4.41,9.8,90.2,43.8,14.6,79.35,35440.61,58.15,23.35,0.2,4.25,2.3,11.8,15.95,6.8,689254,55.1,10,0.441,13.35,43.25,13.1,27.25,0.1,8.35,8.05,0.40892775,34.9,2.7,2.8,0.08,31.1,0.29,0.141,0.234,0.088,443.1,301,0.204,0.081,271.9,4.58,46.8,6.3
St. Charles,69.1,Louisiana,44,26190,63.46,32.68,0.71,2.26,15.5,84.5,19.7,5.1,82,33625.23,66.75,26.55,0.25,0.9,1.1,4.4,23,14.15,52095,62.8,12.75,0.412,16.8,32.55,13.3,26.6,0.6,13.35,13.55,0.51819075,36.6,3.6,3.1,0.1,36.5,0.376,0.198,0.334,0.106,361.8,174.5,0.151,0.06,297.52,8.25,64.6,9.5
Wells,69.1,North Dakota,6,2352,76.23,17.81,0.6,4.29,16.9,83.1,19.6,3.2,64.5,25193.49,98.3,0.05,0.7,0.05,0.6,0.35,17.55,16.85,4229,19.7,12.2,0.436,22.3,34,15.7,19.5,4.35,12.1,14.35,0.96638675,50.8,3.1,3.2,,29.2,0.167,0.154,0.289,0.099,,,0.128,0.044,95.09,,98.2,
Custer,69.1,South Dakota,10,4716,69.76,23.75,0,5.41,8,92,28.6,9.1,71.8,27812.48,92.5,0.1,2.95,0.15,1.75,2.5,15.3,15.05,8040,25.3,9.5,0.389,10.35,44.25,14.45,17.25,2.55,12.05,9.4,0.85742975,49.6,3.5,4,0.08,30.2,0.233,0.187,0.249,0.095,395.8,,0.136,0.046,69.62,,84.2,
Jeff Davis,69.1,Texas,6,1175,59.06,35.91,1.45,3.57,16.1,83.9,34.3,11.3,70,24171.22,62.7,0.2,0.3,0.5,1.3,34.95,45.85,6.05,2267,0,14.05,0.407,25.9,38.25,18.5,19.5,7.1,8.15,8.5,0.51548625,47.7,1.9,,,38.4,0.404,,0.261,0.125,,,0.305,0.055,199.57,,,
Portage,69.1,Wisconsin,47,38123,45.41,48.59,1.53,3.91,9.6,90.4,27.1,8.6,82.2,22620.84,93.15,0.45,0.3,2.75,1,2.25,12.35,8.8,69226,49.9,12.75,0.418,10.8,30.15,16.45,26.65,1.85,7.35,17.6,0.869084,35.6,2.7,2.4,0.06,15.9,0.209,0.153,0.288,0.076,236.9,33.3,0.096,0.066,106.11,,51.6,4.1
Lee,69.2,Florida,127,325797,58.67,38.28,0.65,2.14,13.3,86.7,24.6,8.9,73.95,27992.81,72.45,7.45,0.2,1.3,1.3,17.25,20.5,6.95,596215,42.5,11.25,0.471,17.45,29.55,19.35,28.9,0.4,13.75,7.95,0.56054875,44.6,3.7,4.4,0.08,44.3,0.372,0.197,0.259,0.105,320.8,293.1,0.262,0.089,383.18,6.84,84,6.5
Ravalli,69.2,Montana,24,22122,66.33,27.87,1.15,4.38,9.3,90.7,25,7.1,75.7,20447.59,94.25,0.1,0.95,0.45,1.45,2.8,32.2,6.6,40136,56.7,14.8,0.453,23.9,31.45,17.15,24.1,2.2,13.75,11.4,0.889412,45.1,3.7,3.1,0.06,29.5,0.257,0.193,0.209,0.067,190.4,,0.228,0.08,245.67,,90,7.1
Wheeler,69.2,Oregon,3,792,73.61,19.32,1.26,5.81,11.8,88.2,18.2,7,80.9,20582.42,93.55,0,1.1,0.3,2.45,2.65,0,7.15,1393,33.3,13.3,0.436,19.15,31.9,20.4,18.25,8.35,9.3,11.75,0.87659275,54.6,,,,,0.323,,0.258,0.115,,,0.21,0.076,,,,
Garfield,69.2,Washington,2,1232,68.26,22.4,1.14,7.06,8.3,91.7,17.7,5.4,68.4,24856.44,91.9,0,0.1,1.1,1.4,5.5,21.55,10,2197,34.3,14,0.407,15.5,37.2,14.75,19.6,4.9,14.1,9.5,0.847904,49.7,4.5,3.8,,19.1,0.173,0.169,0.337,0.152,,,0.16,0.078,151.35,,,
Broward,69.3,Florida,577,822837,31.42,66.47,0.61,1.32,12.9,87.1,29.6,10.4,79.8,31062.72,45.75,24.75,0.2,3.1,2.1,24.1,17.7,12.05,1753599,60.3,12,0.469,15.85,34.6,18.35,29.75,0.1,9.2,8,0.3300495,39.2,3.4,3.4,0.09,28.7,0.373,0.143,0.241,0.092,398.3,1078.8,0.26,0.074,505.05,5.08,61.6,6.2
Shelby,69.3,Missouri,7,3252,77.61,18.63,0.49,2.83,11.4,88.6,13.4,4.8,74.95,21471.59,97.05,0.35,0.15,0.1,1,1.3,19.45,13.5,6415,49.2,13.35,0.372,17.1,26.3,18.2,20.6,4.35,11.2,19.3,0.94215475,42.6,3.1,2,0.08,22.1,0.248,0.114,0.317,0.117,79.6,,0.184,0.061,99.27,,71.4,
Washington,69.3,Nebraska,15,10584,69.67,24.62,0.9,4.81,6.4,93.6,29.1,7.1,83.2,33041.93,95.9,0.45,0.15,0.55,1,1.95,2.9,5.85,19979,43.8,4.55,0.39,2.65,38.85,14.8,22.65,1.5,10,12.3,0.920214,40.2,2.5,2.4,0.06,12.8,0.146,0.173,0.307,0.091,113.3,,0.089,0.037,22.28,,44.7,
Henderson,69.3,North Carolina,35,56810,62.55,34.61,0,2.84,12.8,87.2,27.3,10.1,74.2,25456.57,85.35,3.05,0.3,0.85,1.3,9.15,26.3,7.75,103536,49.2,12.4,0.432,20.5,32.4,17.55,22.4,0.5,11.55,15.6,0.738015,44.9,3.7,3.5,0.07,50.3,0.251,0.174,0.219,0.097,194.6,87.4,0.209,0.073,156.19,3.79,75.5,6.2
Delaware,69.3,Pennsylvania,429,284832,37.41,59.39,0.88,1.98,9.5,90.5,34.7,14.5,81.45,34273.76,72.8,18.55,0.1,4.5,1.5,2.65,12.9,6.9,556998,58.6,9.4,0.461,13.85,41.45,15.3,26.6,0.1,7.75,8.8,0.5673475,38.5,3.4,3.8,0.08,22.6,0.328,0.204,0.28,0.093,465.1,297.8,0.102,0.081,541.63,7.49,65.6,7.8
Moffat,69.4,Colorado,14,6510,81.31,13.43,0.48,2.72,11.6,88.4,14.9,5,77.8,31033.48,82.65,0.1,1,0.65,1.3,14.3,7.9,15.1,13675,56.7,12.85,0.382,13.15,22.75,13.95,26.8,0.8,20.15,15.55,0.7038635,36.2,4.2,3.2,0.09,59.3,0.218,0.219,0.241,0.065,423.8,53.4,0.185,0.077,205.88,,99.2,
Boone,69.4,Iowa,16,13984,53.33,39.45,0.74,4.6,7.9,92.1,19.6,4.6,78.5,27864.56,96.45,0.7,0.15,0.3,0.8,1.55,19.85,7.85,26264,38.7,11.25,0.407,14.9,30.25,17,24.1,1.4,9.05,18.3,0.93062475,40.2,2.6,3.2,0.06,28.4,0.266,0.224,0.32,0.089,190.4,58.3,0.095,0.044,232.7,,78.7,
Delaware,69.4,Iowa,13,9165,62.06,32.25,0.44,3.68,8.7,91.3,14.6,4,78.2,27648.24,98.15,0.15,0.1,0.15,0.5,0.9,17.3,10.85,17604,46,8.75,0.388,10.8,29.45,14.1,20.9,2.3,11,22.3,0.96345375,40.9,2,2.5,0.06,23.3,0.187,0.203,0.345,0.084,220.9,,0.102,0.044,217.89,,62.7,
O'Brien,69.4,Iowa,10,7348,78.05,17.88,0.37,2.65,11.2,88.8,19.3,4.1,80.4,25625.11,94.85,0.3,0.05,0.55,0.9,3.4,13.05,8.95,14230,53,9.85,0.445,12.9,29.15,16.1,23.45,1,8.85,21.45,0.90092875,44.4,1.7,1.7,0.06,36.5,0.206,,0.305,0.096,154.8,,0.113,0.041,103.08,,49.9,
Granite,69.4,Montana,4,1765,67.14,26.57,1.42,4.7,9.2,90.8,23.9,6,76.5,19168.01,95.55,0.05,1.45,0.25,1.75,0.9,15.8,13.15,2979,22.6,13.5,0.453,7,34.5,26.5,12.35,3.8,13.7,9.1,0.91358425,50.7,2.6,,,33.9,0.432,0.21,0.209,0.081,,,0.258,0.1,88.86,,,
Clay,69.4,North Carolina,9,5885,74.68,22.97,0,2.34,17,83,18.6,6.2,80.85,24843.68,95.5,1.5,0.25,0.1,0.65,1.95,34,15,10335,36.9,19.8,0.451,25,28.1,17.75,24.1,0.3,16.8,12.95,0.91267975,49.1,3.9,5.2,0.06,39.3,0.222,0.207,0.258,0.111,66.3,104.9,0.218,0.096,156.72,,97.9,
Davie,69.4,North Carolina,14,21350,72.61,24.49,0,2.9,15.6,84.4,23.6,7.8,80.6,30297.11,85.5,6.65,0.15,0.5,1.15,6.15,23.55,5.9,40768,40.6,11.55,0.43,18.75,31.35,13.95,25.75,0.75,11,17.2,0.739389,41.7,4.2,2.9,0.08,35.3,0.271,0.225,0.281,0.119,180.5,81.1,0.163,0.087,206.83,3.94,78.9,7.5
Jackson,69.5,Minnesota,28,5453,66.18,27.36,0.9,3.32,9.5,90.5,16.2,3.1,77.6,26868.94,94.6,0.35,0.15,1.3,0.9,2.65,13.65,10.05,10573,55.3,9.75,0.413,11.2,33.9,14.8,21.3,2.2,9.45,18.4,0.89588275,44,2.8,2.3,0.08,19.9,0.24,0.122,0.298,0.082,88.2,,0.1,0.038,95.81,,59.6,
St. Louis,69.5,Minnesota,176,111260,40.11,51.92,1.69,3.92,7.9,92.1,25.6,8.1,76.85,24611.99,92.8,1.25,2.05,0.9,1.85,1.1,20.4,7.25,198523,40.4,14.85,0.442,17.2,33.45,21,24.7,0.55,10.6,9.8,0.86230475,40.7,3.2,3.3,0.06,21.5,0.34,0.221,0.273,0.083,313.1,51.4,0.101,0.067,240.8,1.65,69.6,4.8
Amite,69.5,Mississippi,21,7033,60.88,38.22,0.1,0.54,26,74,9.2,3.1,65.65,21763.21,56,42.45,0.35,0.1,0.4,0.65,49.8,20.85,13212,26.6,27.15,0.5,45.8,21.6,14.85,22.05,4.7,11.75,25.05,0.49387175,42,4.4,3.6,0.12,61.9,0.475,0.269,0.347,0.145,329.1,191.2,0.242,0.104,,19.28,84.1,
Platte,69.5,Missouri,34,46641,53.55,40.55,0.84,4.62,5.9,94.1,36.9,12.2,78.25,36441.23,85.7,5.05,0.35,2.1,2.25,4.6,13.1,5.75,88391,43.4,6.9,0.408,10.1,39.85,14.05,27.7,0.1,7.2,11.05,0.74007475,38.2,3.5,3.4,0.07,23,0.266,0.163,0.292,0.091,258.5,131.8,0.104,0.056,446.97,3.18,56.9,5.3
Boone,69.5,Nebraska,11,2867,80.19,14.44,0.59,4.78,8.2,91.8,15.8,4.9,74,22742.89,98.6,0.2,0.1,0.15,0.1,0.85,7.25,13.65,5518,25.6,7,0.429,4.35,33.95,18.9,17.15,6.7,10.35,13,0.9722765,45,2.2,1.9,0.06,15.6,0.137,0.125,0.279,0.093,147.8,,0.123,0.026,,,,
Stanley,69.5,South Dakota,3,1567,73.26,21,0,4.91,8.9,91.1,27.7,12,74.2,24678.16,89.45,0.2,6.7,0.05,2.55,1,11.7,17.7,2870,24.7,10,0.422,15.3,32.2,17.2,23.65,6.6,7.9,12.5,0.80537375,41,2.7,1.7,0.08,35.3,0.376,0.173,0.323,0.099,599.6,,0.154,0.029,69.21,,,
Valley,69.6,Idaho,9,5349,54.33,35.76,0.99,4.3,6.7,93.3,36.1,11.8,65.1,26245.93,93.65,0.05,0.6,0.2,1.45,4.05,33.2,8.5,9264,11.5,15.8,0.396,30.05,32.7,16.45,20.55,1.35,21.75,7.2,0.878923,45.1,3.9,3,0.05,30.4,0.196,0.18,0.258,0.087,145.3,,0.198,0.114,284.65,,75,
Becker,69.6,Minnesota,48,17090,63.66,30.47,0.76,3.39,10,90,21.3,6.4,74.55,25373.79,87.95,0.4,6.95,0.35,3.1,1.25,18.25,8.7,32168,43.3,10.5,0.43,14.45,28.6,17.5,24.55,2.05,10.8,16.45,0.779496,42.4,2.8,2.1,0.05,34.8,0.308,0.166,0.279,0.082,128.1,17.3,0.13,0.058,96.37,,70,
Stearns,69.6,Minnesota,99,78985,60.29,32.38,1.21,3.76,10.1,89.9,23.6,7.6,78.7,24877.79,92,2.35,0.25,1.85,1.25,2.35,13.2,11.1,148405,33.4,12.6,0.424,12.35,30.55,17.65,25,1.1,8.9,16.85,0.84800925,33.1,2.5,2.2,0.07,16.1,0.224,0.136,0.277,0.074,278.8,35.4,0.104,0.055,193.34,1.08,43.9,5.7
